trait_id	phenotype_label	category	weight_file	weight_path_expanse	raw_source_file	raw_match_method	currently_enabled	processing_status	catalog_status	ancestry	genome_build	publication	year	doi_or_source_url	notes
aowgwas_sumstats_gui2025	Aowgwas Sumstats Gui2025	other	AOWgwas_sumstats_Gui2025_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/AOWgwas_sumstats_Gui2025_cojo.txt	AOWgwas_sumstats_Gui2025.txt	exact_filename_stem	yes	final_weight_available	provisional	European	not_encoded_rsid_only	Gui et al. Genome-wide association meta-analysis of age at onset of walking in over 70,000 infants of European ancestry	2025	10.1038/s41562-025-02145-1	Matched to a verified study family; remaining fields require verification
childhood_obesity_trans_ancestral_2019_results	Childhood Obesity Trans Ancestral 2019 Results	growth_obesity_development	CHILDHOOD_OBESITY.TRANS_ANCESTRAL_2019.RESULTS_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/CHILDHOOD_OBESITY.TRANS_ANCESTRAL_2019.RESULTS_cojo.txt	CHILDHOOD_OBESITY.TRANS_ANCESTRAL_2019.RESULTS.txt.gz	exact_filename_stem	yes	final_weight_available	provisional	trans-ancestry	not_encoded_rsid_only	Bradfield et al. A trans-ancestral meta-analysis of genome-wide association studies reveals loci associated with childhood obesity	2019	10.1093/hmg/ddz161	Matched to a verified study family; remaining fields require verification
dozing_sumstats_jansenetal	Dozing Sumstats Jansenetal	sleep_circadian	Dozing_sumstats_Jansenetal_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/Dozing_sumstats_Jansenetal_cojo.txt	Dozing_sumstats_Jansenetal.txt.gz	exact_filename_stem	yes	final_weight_available	provisional	European	not_encoded_rsid_only	Jansen et al. Genome-wide analysis of insomnia and related sleep phenotypes	2019	10.1038/s41588-018-0333-3	Matched to a verified study family; remaining fields require verification
f1_compulsivedisorders_2025	F1 Compulsivedisorders 2025	psychiatric_neurologic	F1_CompulsiveDisorders_2025_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/F1_CompulsiveDisorders_2025_cojo.txt	F1_CompulsiveDisorders_2025.tsv.gz	exact_filename_stem	yes	final_weight_available	provisional	EUR-like	not_encoded_rsid_only	Mapping the genetic landscape across 14 psychiatric disorders	2025	10.1038/s41586-025-09820-3	Matched to a verified study family; remaining fields require verification
f2_schizophreniabipolar_2025	F2 Schizophreniabipolar 2025	psychiatric_neurologic	F2_SchizophreniaBipolar_2025_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/F2_SchizophreniaBipolar_2025_cojo.txt	F2_SchizophreniaBipolar_2025.tsv.gz	exact_filename_stem	yes	final_weight_available	provisional	EUR-like	not_encoded_rsid_only	Mapping the genetic landscape across 14 psychiatric disorders	2025	10.1038/s41586-025-09820-3	Matched to a verified study family; remaining fields require verification
f3_neurodevelopmental_2025	F3 Neurodevelopmental 2025	psychiatric_neurologic	F3_Neurodevelopmental_2025_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/F3_Neurodevelopmental_2025_cojo.txt	F3_Neurodevelopmental_2025.tsv.gz	exact_filename_stem	yes	final_weight_available	provisional	EUR-like	not_encoded_rsid_only	Mapping the genetic landscape across 14 psychiatric disorders	2025	10.1038/s41586-025-09820-3	Matched to a verified study family; remaining fields require verification
f4_internalizing_2025	F4 Internalizing 2025	psychiatric_neurologic	F4_Internalizing_2025_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/F4_Internalizing_2025_cojo.txt	F4_Internalizing_2025.tsv.gz	exact_filename_stem	yes	final_weight_available	provisional	EUR-like	not_encoded_rsid_only	Mapping the genetic landscape across 14 psychiatric disorders	2025	10.1038/s41586-025-09820-3	Matched to a verified study family; remaining fields require verification
f5_substanceuse_2025	F5 Substanceuse 2025	psychiatric_neurologic	F5_SubstanceUse_2025_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/F5_SubstanceUse_2025_cojo.txt	F5_SubstanceUse_2025.tsv.gz	exact_filename_stem	yes	final_weight_available	provisional	EUR-like	not_encoded_rsid_only	Mapping the genetic landscape across 14 psychiatric disorders	2025	10.1038/s41586-025-09820-3	Matched to a verified study family; remaining fields require verification
fetal_early_preterm_birth_ncomms2019	Fetal Early Preterm Birth Ncomms2019	growth_obesity_development	Fetal_early_preterm_birth_NComms2019_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/Fetal_early_preterm_birth_NComms2019_cojo.txt	Fetal_early_preterm_birth_NComms2019.txt.gz	exact_filename_stem	yes	final_weight_available	provisional		not_encoded_rsid_only	Variants in the fetal genome near pro-inflammatory cytokine genes on 2q13 associate with gestational duration	2019	10.1038/s41467-019-11881-8	Matched to a verified study family; remaining fields require verification
fetal_gest_duration_ncomms2019	Fetal Gest Duration Ncomms2019	growth_obesity_development	Fetal_gest_duration_NComms2019_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/Fetal_gest_duration_NComms2019_cojo.txt	Fetal_gest_duration_NComms2019.txt.gz	exact_filename_stem	yes	final_weight_available	provisional		not_encoded_rsid_only	Variants in the fetal genome near pro-inflammatory cytokine genes on 2q13 associate with gestational duration	2019	10.1038/s41467-019-11881-8	Matched to a verified study family; remaining fields require verification
fetal_postterm_birth_ncomms2019	Fetal Postterm Birth Ncomms2019	growth_obesity_development	Fetal_postterm_birth_NComms2019_cojo.txt	/expanse/projects/sebat1/a1sriniv/pgs_sumstats_organized/processed/txt_weights/Fetal_postterm_birth_NComms2019_cojo.txt	Fetal_postterm_birth_NComms2019.txt.gz	exact_filename_stem	yes	final_weight_available	provisional		not_encoded_rsid_only	Variants in the fetal genome near pro-inflammatory cytokine genes on 2q13 associate with gestational duration	2019	10.1038/s41467-019-11881-8	Matched to a verified study family; remaining fields require verification
